gear_ID,gear_Tier,health,damage,armor,focus,resist,crit_Damage,crit_Chance,speed,dodge_Chance,block_Chance,block_Amount,accuracy,picture,crafting_Part1_ID,crafting_Part1_Count,crafting_Part2_ID,crafting_Part2_Count,crafting_Part3_ID,crafting_Part3_Count,crafting_Cost,
T1_NoArmor,1,10,0,0,0,1,0,0,0,0,0,0,0,Gear_NoArmor,,0,,0,,0,0,
T1_Bio_Health,1,140,0,0,0,1,0,0,0,0,0,0,0,Gear_Bio_Health1,,0,,0,,0,100000,
T2_Bio_Health,2,381,0,0,0,2,0,0,0,0,0,0,0,Gear_Bio_Health2,Green_Bio_Mat,1,Green_Health_Mat,1,,0,1100,
T3_Bio_Health,3,538,0,0,0,2,0,0,0,0,0,0,0,Gear_Bio_Health3,Green_Bio_Mat,1,Green_Health_Mat,1,Green_Bio_Mat_b2,1,1900,
T4_Bio_Health,4,954,0,0,0,3,0,0,0,0,0,0,0,Gear_Bio_Health1,Blue_Bio_Mat,1,Blue_Bio_Health_Mat,1,,0,2200,
T5_Bio_Health,5,1000,0,0,0,3,0,0,0,0,0,0,0,Gear_Bio_Health2,Blue_Bio_Mat,1,Blue_Bio_Health_Mat,2,Blue_Bio_Mat_b3,1,2400,
T6_Bio_Health,6,1200,0,0,0,3,0,0,0,0,0,0,0,Gear_Bio_Health3,Blue_Bio_Mat,1,Blue_Bio_Health_Mat,3,Blue_Bio_Mat_A1,1,2800,
T7_Bio_Health,7,1300,0,0,0,4,0,0,0,0,0,0,0,Gear_Bio_Health4,Blue_Bio_Mat,2,Blue_Bio_Health_Mat,4,Blue_Bio_Mat_A2,1,3400,
T8_Bio_Health,8,1500,0,0,0,4,0,0,0,0,0,0,0,Gear_Bio_Health1,Purple_Bio_Mat,1,Purple_Bio_Health_Mat,1,Purple_Bio_Mat_b3,1,4600,
T9_Bio_Health,9,1600,0,0,0,5,0,0,0,0,0,0,0,Gear_Bio_Health2,Purple_Bio_Mat,2,Purple_Bio_Health_Mat,3,Purple_Bio_Mat_b1,1,5800,
T10_Bio_Health,10,1800,0,0,0,5,0,0,0,0,0,0,0,Gear_Bio_Health3,Purple_Bio_Mat,2,Purple_Bio_Health_Mat,5,Purple_Bio_Mat_A1,1,7300,
T11_Bio_Health,11,2000,0,0,0,5,0,0,0,0,0,0,0,Gear_Bio_Health4,Purple_Bio_Mat,2,Purple_Bio_Health_Mat,7,Purple_Bio_Mat_A2,1,9200,
T12_Bio_Health,12,2100,0,0,0,5,0,0,0,0,0,0,0,Gear_Bio_Health1,Orange_Bio_Mat,2,Orange_Bio_Health_Mat,2,Orange_Bio_Mat_b3,2,10000,
T13_Bio_Health,13,2700,0,0,0,25,0,0,0,0,0,0,0,Gear_Bio_Health2,Orange_Bio_Mat,3,Orange_Bio_Health_Mat,5,Orange_Bio_Mat_A2,3,12000,
T14_Bio_Health,14,3900,0,0,0,30,0,0,0,0,0,0,0,Gear_Bio_Health3,Orange_Bio_Mat,5,Orange_Bio_Health_Mat,7,Orange_Bio_Mat_A3,1,15000,
T15_Bio_Health,15,4900,0,0,0,35,0,0,0,0,0,0,0,Gear_Bio_Health4,Orange_Bio_Mat,10,Orange_Bio_Health_Mat,15,Orange_Bio_Mat_A4,1,18000,
T16_Bio_Health,16,6200,0,0,0,40,0,0,0,0,0,0,0,Gear_Bio_Health1,Red_Bio_Mat,10,Red_Bio_Health_Mat,15,Red_Bio_Mat_A1,1,20000,
