sheet_id,gear_Tier,slot1_ID,slot1_LvlReq,slot2_ID,slot2_LvlReq,slot3_ID,slot3_LvlReq,slot4_ID,slot4_LvlReq,slot5_ID,slot5_LvlReq,slot6_ID,slot6_LvlReq,health,damage,armor,focus,resist,crit_Damage,crit_Chance,speed,dodge_Chance,block_Chance,block_Amount,accuracy,
TestMan,0,,0,,0,,0,,0,,0,,0,60,18,4,32,32,0,0,0,0,0,0,0,
TestMan,1,Green_Focus_Mat,1,T1_NoArmor,1,Green_Damage_Mat,1,Green_Resist_Mat,3,Green_Armor_Mat,2,Green_Health_Mat,4,378,112,23,53,53,0,0,0,0,0,0,0,
TestMan,2,T2_Bio_Focus,12,T1_NoArmor,4,T2_Bio_Damage,6,T2_Bio_Resist,9,T2_Bio_Armor,4,T2_Bio_Health,10,964,237,58,82,82,0,0,0,0,0,0,0,
TestMan,3,T2_Bio_Focus,14,T1_NoArmor,12,T3_Bio_Damage,12,T2_Bio_Resist,15,T3_Bio_Armor,14,T3_Bio_Health,18,1791,378,108,113,113,0,0,0,0,0,0,0,
TestMan,4,T4_Bio_Focus,24,T1_NoArmor,18,T4_Bio_Damage,18,T4_Bio_Resist,19,T4_Bio_Armor,19,T4_Bio_Health,20,3258,534,196,149,149,0,0,0,0,0,0,0,
TestMan,5,T4_Bio_Focus,24,T1_NoArmor,24,T4_Bio_Damage,28,T4_Bio_Resist,25,T4_Bio_Armor,30,T4_Bio_Health,25,4804,709,288,188,188,0,0,0,0,0,0,0,
TestMan,6,T6_Bio_Focus,36,T1_NoArmor,30,T6_Bio_Damage,31,T6_Bio_Resist,30,T6_Bio_Armor,35,T6_Bio_Health,30,6732,904,404,232,232,0,0,0,0,0,0,0,
TestMan,7,T6_Bio_Focus,40,T1_NoArmor,36,T6_Bio_Damage,42,T6_Bio_Resist,41,T6_Bio_Armor,36,T6_Bio_Health,37,9852,1119,591,281,281,0,0,0,0,0,0,0,
TestMan,8,T8_Bio_Focus,45,T1_NoArmor,42,T8_Bio_Damage,48,T8_Bio_Resist,43,T8_Bio_Armor,42,T8_Bio_Health,46,13792,1358,828,334,334,0,0,0,0,0,0,0,
TestMan,9,T8_Bio_Focus,54,T1_NoArmor,48,T8_Bio_Damage,48,T8_Bio_Resist,48,T8_Bio_Armor,48,T8_Bio_Health,49,17568,1621,1054,394,394,0,0,0,0,0,0,0,
TestMan,10,T10_Bio_Focus,54,T1_NoArmor,54,T10_Bio_Damage,60,T10_Bio_Resist,59,T10_Bio_Armor,54,T10_Bio_Health,54,22016,1912,1321,460,460,0,0,0,0,0,0,0,
TestMan,11,T10_Bio_Focus,61,T1_NoArmor,60,T10_Bio_Damage,63,T10_Bio_Resist,60,T10_Bio_Armor,60,T10_Bio_Health,65,25068,2177,1504,520,520,0,0,0,0,0,0,0,
TestMan,12,T12_Bio_Focus,69,T1_NoArmor,65,T12_Bio_Damage,70,T12_Bio_Resist,69,T12_Bio_Armor,66,T12_Bio_Health,65,28373,2464,1702,584,584,0,0,0,0,0,0,0,
TestMan,13,T13_Bio_Focus,70,T1_NoArmor,75,T13_Bio_Damage,74,T13_Bio_Resist,70,T13_Bio_Armor,72,T13_Bio_Health,75,44333,3850,2660,1636,1636,0,0,0,0,0,0,0,
TestMan,14,T14_Bio_Focus,80,T1_NoArmor,80,T14_Bio_Damage,80,T14_Bio_Resist,80,T14_Bio_Armor,80,T14_Bio_Health,80,55415,4813,3325,1826,1826,0,0,0,0,0,0,0,
TestMan,15,T15_Bio_Focus,1000,T1_NoArmor,85,T15_Bio_Damage,1000,T15_Bio_Resist,1000,T15_Bio_Armor,1000,T15_Bio_Health,1000,69268,6016,4156,2031,2031,0,0,0,0,0,0,0,
