id,translation
ID_ABILITY_AIMCONTROL_INFECT_BASIC_1_DESC,Attack primary target for <color=#86e619>{thislevel.basic.action.0.stat_modifier.0.delta}%</color> damage. Copy all negative effects on this character to the primary target.
ID_ABILITY_AIMCONTROL_INFECT_BASIC_2_DESC,Attack primary target for <color=#86e619>{thislevel.basic.action.0.stat_modifier.0.delta}%</color> damage. Copy all negative effects on this character to the primary target + <color=#86e619>{thislevel.basic.action.2.action_pct}%</color> chance to apply a random negative effect.
ID_ABILITY_AIMCONTROL_INFECT_BASIC_7_DESC,Attack primary target for <color=#86e619>{thislevel.basic.action.0.stat_modifier.0.delta}%</color> damage. Copy all negative effects on this character to the primary target + apply a random negative effect.
ID_ABILITY_AIMCONTROL_INFECT_BASIC_1_UPGRADE,+<color=#86e619>{nextlevel.basic.action.2.action_pct - thislevel.basic.action.2.action_pct}%</color> chance to apply a random negative effect to target
ID_ABILITY_AIMCONTROL_INFECT_BASIC_2_UPGRADE,+<color=#86e619>{nextlevel.basic.action.0.stat_modifier.0.delta - thislevel.basic.action.0.stat_modifier.0.delta}%</color> damage to primary target
ID_ABILITY_AIMCONTROL_INFECT_BASIC_3_UPGRADE,+<color=#86e619>{nextlevel.basic.action.2.action_pct - thislevel.basic.action.2.action_pct}%</color> chance to apply a random negative effect to target
ID_ABILITY_AIMCONTROL_INFECT_BASIC_4_UPGRADE,+<color=#86e619>{nextlevel.basic.action.0.stat_modifier.0.delta - thislevel.basic.action.0.stat_modifier.0.delta}%</color> damage to primary target
ID_ABILITY_AIMCONTROL_INFECT_BASIC_5_UPGRADE,+<color=#86e619>{nextlevel.basic.action.2.action_pct - thislevel.basic.action.2.action_pct}%</color> chance to apply a random negative effect to target
ID_ABILITY_AIMCONTROL_INFECT_BASIC_6_UPGRADE,+<color=#86e619>{nextlevel.basic.action.0.stat_modifier.0.delta - thislevel.basic.action.0.stat_modifier.0.delta}%</color> damage to primary target\nAlways apply a random negative effect to target
ID_ABILITY_AIMCONTROL_INFECT_SPECIAL_1_DESC,Heal self for <color=#86e619>{thislevel.special.action.1.heal_amt}</color> Health + <color=#86e619>{thislevel.special.action.1.heal_pct}%</color> of Max Health.
ID_ABILITY_AIMCONTROL_INFECT_SPECIAL_3_DESC,Fill Speed Bar by <color=#86e619>{thislevel.special.action.0.change_pct}%</color>.\nHeal self for <color=#86e619>{thislevel.special.action.1.heal_amt}</color> Health + <color=#86e619>{thislevel.special.action.1.heal_pct}%</color> of Max Health.
