id,translation
ID_ABILITY_AIMCONTROL_INFECT_BASIC_NAME,Puncture
ID_ABILITY_AIMCONTROL_INFECT_BASIC_FICTIONAL_DESC,
ID_ABILITY_AIMCONTROL_INFECT_SPECIAL_NAME,Biohazard
ID_ABILITY_AIMCONTROL_INFECT_SPECIAL_FICTIONAL_DESC,
ID_ABILITY_AIMCONTROL_INFECT_PASSIVE_NAME,Metabolism
ID_ABILITY_AIMCONTROL_INFECT_PASSIVE_FICTIONAL_DESC,
ID_ABILITY_AIMDMG_OFFENSE_BASIC_NAME,Bash
ID_ABILITY_AIMDMG_OFFENSE_BASIC_FICTIONAL_DESC,
ID_ABILITY_AIMDMG_OFFENSE_SPECIAL_NAME,Sudden Evolution
ID_ABILITY_AIMDMG_OFFENSE_SPECIAL_FICTIONAL_DESC,
ID_ABILITY_AIMDMG_OFFENSE_PASSIVE_NAME,Growth Spurt
ID_ABILITY_AIMDMG_OFFENSE_PASSIVE_FICTIONAL_DESC,
ID_ABILITY_AIMDMG_SPEED_BASIC_NAME,Submachine Gun
ID_ABILITY_AIMDMG_SPEED_BASIC_FICTIONAL_DESC,
ID_ABILITY_AIMDMG_SPEED_SPECIAL_NAME,Hyperdose
ID_ABILITY_AIMDMG_SPEED_SPECIAL_FICTIONAL_DESC,
ID_ABILITY_AIMDMG_SPEED_PASSIVE_NAME,Juicer
ID_ABILITY_AIMDMG_SPEED_PASSIVE_FICTIONAL_DESC,
ID_ABILITY_AIMSUPPORT_HEAL_BASIC_NAME,Wounding Shot
ID_ABILITY_AIMSUPPORT_HEAL_BASIC_FICTIONAL_DESC,
ID_ABILITY_AIMSUPPORT_HEAL_SPECIAL_NAME,Surgery Drone
ID_ABILITY_AIMSUPPORT_HEAL_SPECIAL_FICTIONAL_DESC,
ID_ABILITY_AIMSUPPORT_HEAL_PASSIVE_NAME,Antidote
ID_ABILITY_AIMSUPPORT_HEAL_PASSIVE_FICTIONAL_DESC,
ID_ABILITY_AIMTANK_TAUNT_BASIC_NAME,Takedown
ID_ABILITY_AIMTANK_TAUNT_BASIC_FICTIONAL_DESC,
ID_ABILITY_AIMTANK_TAUNT_SPECIAL_NAME,Charge Capacitor
ID_ABILITY_AIMTANK_TAUNT_SPECIAL_FICTIONAL_DESC,
ID_ABILITY_AIMTANK_TAUNT_PASSIVE_NAME,Immunization
ID_ABILITY_AIMTANK_TAUNT_PASSIVE_FICTIONAL_DESC,
ID_ABILITY_AMERICACHAVEZ_BASIC_NAME,Starstruck
ID_ABILITY_AMERICACHAVEZ_BASIC_FICTIONAL_DESC,
ID_ABILITY_AMERICACHAVEZ_SPECIAL_NAME,Shooting Star
ID_ABILITY_AMERICACHAVEZ_SPECIAL_FICTIONAL_DESC,
ID_ABILITY_AMERICACHAVEZ_ULTIMATE_NAME,Starling Highway
ID_ABILITY_AMERICACHAVEZ_ULTIMATE_FICTIONAL_DESC,
ID_ABILITY_AMERICACHAVEZ_PASSIVE_NAME,America's Starling
ID_ABILITY_AMERICACHAVEZ_PASSIVE_FICTIONAL_DESC,
ID_ABILITY_ANTMAN_BASIC_NAME,Scrappy Fighter
ID_ABILITY_ANTMAN_BASIC_FICTIONAL_DESC,
ID_ABILITY_ANTMAN_SPECIAL_NAME,Gum Up the Works
ID_ABILITY_ANTMAN_SPECIAL_FICTIONAL_DESC,
ID_ABILITY_ANTMAN_ULTIMATE_NAME,Stomp
ID_ABILITY_ANTMAN_ULTIMATE_FICTIONAL_DESC,
ID_ABILITY_ANTMAN_PASSIVE_NAME,Escape Plan
ID_ABILITY_ANTMAN_PASSIVE_FICTIONAL_DESC,
ID_ABILITY_BARONMORDO_BASIC_NAME,Arcane Scourge
ID_ABILITY_BARONMORDO_BASIC_FICTIONAL_DESC,
ID_ABILITY_BARONMORDO_SPECIAL_NAME,Mesmerize
ID_ABILITY_BARONMORDO_SPECIAL_FICTIONAL_DESC,
ID_ABILITY_BARONMORDO_ULTIMATE_NAME,Demons of Denak
ID_ABILITY_BARONMORDO_ULTIMATE_FICTIONAL_DESC,
ID_ABILITY_BARONMORDO_PASSIVE_NAME,Too Many Sorcerers
ID_ABILITY_BARONMORDO_PASSIVE_FICTIONAL_DESC,
ID_ABILITY_BEAST_BASIC_NAME,Dignified Strikes
ID_ABILITY_BEAST_BASIC_FICTIONAL_DESC,
ID_ABILITY_BEAST_SPECIAL_NAME,Volatile Experiment
ID_ABILITY_BEAST_SPECIAL_FICTIONAL_DESC,
ID_ABILITY_BEAST_ULTIMATE_NAME,Mutant Enhancement
ID_ABILITY_BEAST_ULTIMATE_FICTIONAL_DESC,
ID_ABILITY_BEAST_PASSIVE_NAME,Stars and Garters
ID_ABILITY_BEAST_PASSIVE_FICTIONAL_DESC,
ID_ABILITY_BLACKBOLT_BASIC_NAME,Royal Strike
ID_ABILITY_BLACKBOLT_BASIC_FICTIONAL_DESC,
ID_ABILITY_BLACKBOLT_SPECIAL_NAME,Staggering Voice
ID_ABILITY_BLACKBOLT_SPECIAL_FICTIONAL_DESC,
ID_ABILITY_BLACKBOLT_ULTIMATE_NAME,Sonic Scream
ID_ABILITY_BLACKBOLT_ULTIMATE_FICTIONAL_DESC,
ID_ABILITY_BLACKBOLT_PASSIVE_NAME,King of Attilan
ID_ABILITY_BLACKBOLT_PASSIVE_FICTIONAL_DESC,
ID_ABILITY_BLACKPANTHER_BASIC_NAME,Claw Slash
ID_ABILITY_BLACKPANTHER_BASIC_FICTIONAL_DESC,
ID_ABILITY_BLACKPANTHER_SPECIAL_NAME,Hunter's Spirit
ID_ABILITY_BLACKPANTHER_SPECIAL_FICTIONAL_DESC,
ID_ABILITY_BLACKPANTHER_ULTIMATE_NAME,Panther Rush
ID_ABILITY_BLACKPANTHER_ULTIMATE_FICTIONAL_DESC,
ID_ABILITY_BLACKPANTHER_PASSIVE_NAME,Defender of Wakanda
ID_ABILITY_BLACKPANTHER_PASSIVE_FICTIONAL_DESC,
ID_ABILITY_BLACKWIDOW_BASIC_NAME,Sabotage
ID_ABILITY_BLACKWIDOW_BASIC_FICTIONAL_DESC,
ID_ABILITY_BLACKWIDOW_SPECIAL_NAME,Camouflage Tech
ID_ABILITY_BLACKWIDOW_SPECIAL_FICTIONAL_DESC,
ID_ABILITY_BLACKWIDOW_ULTIMATE_NAME,Widow's Bite
ID_ABILITY_BLACKWIDOW_ULTIMATE_FICTIONAL_DESC,
ID_ABILITY_BLACKWIDOW_PASSIVE_NAME,Saboteur
ID_ABILITY_BLACKWIDOW_PASSIVE_FICTIONAL_DESC,
ID_ABILITY_BLOB_BASIC_NAME,Heavy Handed
ID_ABILITY_BLOB_BASIC_FICTIONAL_DESC,
ID_ABILITY_BLOB_SPECIAL_NAME,Meat Shield
ID_ABILITY_BLOB_SPECIAL_FICTIONAL_DESC,
ID_ABILITY_BLOB_ULTIMATE_NAME,Belly Flop
ID_ABILITY_BLOB_ULTIMATE_FICTIONAL_DESC,
ID_ABILITY_BLOB_PASSIVE_NAME,Solid Mass
ID_ABILITY_BLOB_PASSIVE_FICTIONAL_DESC,
ID_ABILITY_BULLSEYE_BASIC_NAME,Throwing Knife
ID_ABILITY_BULLSEYE_BASIC_FICTIONAL_DESC,
ID_ABILITY_BULLSEYE_SPECIAL_NAME,Card Trick
ID_ABILITY_BULLSEYE_SPECIAL_FICTIONAL_DESC,
ID_ABILITY_BULLSEYE_ULTIMATE_NAME,Kill Shot
ID_ABILITY_BULLSEYE_ULTIMATE_FICTIONAL_DESC,
ID_ABILITY_BULLSEYE_PASSIVE_NAME,Never Miss
ID_ABILITY_BULLSEYE_PASSIVE_FICTIONAL_DESC,
ID_ABILITY_CABLE_BASIC_NAME,Plasma Rifle
ID_ABILITY_CABLE_BASIC_FICTIONAL_DESC,
ID_ABILITY_CABLE_SPECIAL_NAME,Overload
ID_ABILITY_CABLE_SPECIAL_FICTIONAL_DESC,
ID_ABILITY_CABLE_ULTIMATE_NAME,Psychic Surge
ID_ABILITY_CABLE_ULTIMATE_FICTIONAL_DESC,
ID_ABILITY_CABLE_PASSIVE_NAME,Time Sense
ID_ABILITY_CABLE_PASSIVE_FICTIONAL_DESC,
ID_ABILITY_CAPTAINAMERICA_BASIC_NAME,Shield Bash
ID_ABILITY_CAPTAINAMERICA_BASIC_FICTIONAL_DESC,
ID_ABILITY_CAPTAINAMERICA_SPECIAL_NAME,Inspire
ID_ABILITY_CAPTAINAMERICA_SPECIAL_FICTIONAL_DESC,
ID_ABILITY_CAPTAINAMERICA_ULTIMATE_NAME,Shield Throw
ID_ABILITY_CAPTAINAMERICA_ULTIMATE_FICTIONAL_DESC,
ID_ABILITY_CAPTAINAMERICA_PASSIVE_NAME,Assemble!
ID_ABILITY_CAPTAINAMERICA_PASSIVE_FICTIONAL_DESC,
ID_ABILITY_CAPTAINMARVEL_BASIC_NAME,Princess Sparkle Fist
ID_ABILITY_CAPTAINMARVEL_BASIC_FICTIONAL_DESC,
ID_ABILITY_CAPTAINMARVEL_SPECIAL_NAME,Warbird
ID_ABILITY_CAPTAINMARVEL_SPECIAL_FICTIONAL_DESC,
ID_ABILITY_CAPTAINMARVEL_ULTIMATE_NAME,Binary
ID_ABILITY_CAPTAINMARVEL_ULTIMATE_FICTIONAL_DESC,
ID_ABILITY_CAPTAINMARVEL_PASSIVE_NAME,Higher. Further. Faster.
ID_ABILITY_CAPTAINMARVEL_PASSIVE_FICTIONAL_DESC,
ID_ABILITY_CARNAGE_BASIC_NAME,Cleave
ID_ABILITY_CARNAGE_BASIC_FICTIONAL_DESC,
ID_ABILITY_CARNAGE_SPECIAL_NAME,Slaughter
ID_ABILITY_CARNAGE_SPECIAL_FICTIONAL_DESC,
ID_ABILITY_CARNAGE_ULTIMATE_NAME,Absolute Carnage
ID_ABILITY_CARNAGE_ULTIMATE_FICTIONAL_DESC,
ID_ABILITY_CARNAGE_PASSIVE_NAME,Frenzied Fury
ID_ABILITY_CARNAGE_PASSIVE_FICTIONAL_DESC,
ID_ABILITY_COLOSSUS_BASIC_NAME,Ringdinger
ID_ABILITY_COLOSSUS_BASIC_FICTIONAL_DESC,
ID_ABILITY_COLOSSUS_SPECIAL_NAME,Altruism
ID_ABILITY_COLOSSUS_SPECIAL_FICTIONAL_DESC,
ID_ABILITY_COLOSSUS_ULTIMATE_NAME,Enduring Protection
ID_ABILITY_COLOSSUS_ULTIMATE_FICTIONAL_DESC,
ID_ABILITY_COLOSSUS_PASSIVE_NAME,Steel Form
ID_ABILITY_COLOSSUS_PASSIVE_FICTIONAL_DESC,
ID_ABILITY_CORVUSGLAIVE_BASIC_NAME,Shadow Slash
ID_ABILITY_CORVUSGLAIVE_BASIC_FICTIONAL_DESC,
ID_ABILITY_CORVUSGLAIVE_SPECIAL_NAME,Bloodletting
ID_ABILITY_CORVUSGLAIVE_SPECIAL_FICTIONAL_DESC,
ID_ABILITY_CORVUSGLAIVE_ULTIMATE_NAME,Grim Glaive
ID_ABILITY_CORVUSGLAIVE_ULTIMATE_FICTIONAL_DESC,
ID_ABILITY_CORVUSGLAIVE_PASSIVE_NAME,Loyal Lieutenant
ID_ABILITY_CORVUSGLAIVE_PASSIVE_FICTIONAL_DESC,
ID_ABILITY_COULSON_BASIC_NAME,Night-Night Gun
ID_ABILITY_COULSON_BASIC_FICTIONAL_DESC,
ID_ABILITY_COULSON_SPECIAL_NAME,EMP Punch
ID_ABILITY_COULSON_SPECIAL_FICTIONAL_DESC,
ID_ABILITY_COULSON_ULTIMATE_NAME,Teamwork
ID_ABILITY_COULSON_ULTIMATE_FICTIONAL_DESC,
ID_ABILITY_COULSON_PASSIVE_NAME,The Agent
ID_ABILITY_COULSON_PASSIVE_FICTIONAL_DESC,
ID_ABILITY_CYCLOPS_BASIC_NAME,Optic Blast
ID_ABILITY_CYCLOPS_BASIC_FICTIONAL_DESC,
ID_ABILITY_CYCLOPS_SPECIAL_NAME,To Me!
ID_ABILITY_CYCLOPS_SPECIAL_FICTIONAL_DESC,
ID_ABILITY_CYCLOPS_ULTIMATE_NAME,Optic Devastation
ID_ABILITY_CYCLOPS_ULTIMATE_FICTIONAL_DESC,
ID_ABILITY_CYCLOPS_PASSIVE_NAME,Team Synergy
ID_ABILITY_CYCLOPS_PASSIVE_FICTIONAL_DESC,
