id,translation
ID_ARENA_ACCESS,You have unlocked Blitz!
ID_ARENA_LOCKED,Blitz Access Denied
ID_ARENA_LOCKED_DESC,Blitz will unlock when you reach Player Level 12.
ID_ARENA_REWARDS_CLAIMED,CLAIMED
ID_ARENA_REWARDS_CLAIM,CLAIM
ID_ARENA_REWARDS_COMPLETE,COMPLETE
ID_ARENA_WINNER,BLITZ WINNER
ID_ARENA_ENDS_IN,ENDS IN:
ID_ARENA_EVENT_ENDS_IN,EVENT ENDS IN:
ID_ARENA_EVENT_STARTS_IN,EVENT STARTS IN:
ID_ARENA_POINTS,Points:
ID_ARENA_COMPLETED,Completed:
ID_ARENA_MORE_INFO,MORE INFO
ID_ARENA_MAINMENU_INFOBOX,"Win battles in Blitz to earn Blitz Points and complete milestones and earn rank rewards! Points earned for winning a battle are determined by the Power of your opponent's team and your Blitz Points multiplier. Your current tier determines your Points multiplier.\n\nEach character has a limited number of free attacks per day. If you exceed this limit, the character will go <color=#fff89e>on cooldown</color> until their free attacks reset. (If the time to the reset is less than the usual cooldown, the usual cooldown will be applied instead.)"
ID_ARENA_UNLOCKED_RANK_REWARDS,You have unlocked RANK REWARDS
ID_ARENA_REACH_TO_EARN,Reach {points} points to earn rank rewards
ID_ARENA_RANK_RANGE,{min}-{max}
ID_ARENA_AUTO_SIM_OFF,SIM OFF
ID_ARENA_AUTO_SIM_ON,SIM ON
ID_ARENA_RULES_BUTTON,RULES
ID_ARENA_RULES_HEADER,RULES
ID_ARENA_RULES_SUBHEADER,Welcome to Blitz!
ID_ARENA_RULES_SUBHEADER2,Here is everything you need to know.
ID_ARENA_SHOW_STATS,SHOW STATS
ID_ARENA_HIDE_STATS,HIDE STATS
ID_AR_CURRENCY_SWITCH_TITLE,CURRENCY SWITCH
ID_AR_CURRENCY_SWITCH_BODY,"Commander, you're out of Blitz Charges. Recharging your characters will now consume Power Cores."
ID_AR_INVALID_COST_TITLE,INVALID COST
ID_AR_INVALID_COST_BODY,An error occurred starting the match. Please try again.
ID_AR_NO_OPPONENT_TITLE,NO OPPONENT SELECTED
ID_AR_NO_OPPONENT_BODY,The opponent's squad is empty. Please tap New Opponent.
ID_AR_NO_SQUAD_TITLE,OPPONENT SQUAD IS EMPTY
ID_AR_NO_SQUAD_BODY,The opponent's squad is empty. Please tap New Opponent.
ID_AR_AUTOSIM_LOCKED_TITLE,BLITZ SIM: LOCKED
ID_AR_AUTOSIM_LOCKED_BODY,Every Blitz that starts after you reach level 60 will allow you to simulate Blitz combats!\n\nActivate the SIM button and hit Battle to have the game run the combat and report the result.
ID_AR_AUTOSIM_UNLOCKED_TITLE,BLITZ SIM UNLOCKED!
ID_AR_AUTOSIM_UNLOCKED_BODY,"Congratulations, you've unlocked Blitz Sim!\n\nActivate the SIM button and hit Battle to have the game run the combat and report the result."
ID_PVP_ERROR_INVALID_EVENT,"This event has already ended. Unfortunately, any missions you just completed will not count."
ID_BLITZ_TEAM_SIZE,{team_size} vs {team_size}
ID_BLITZ_SQUAD_SELECTOR_TEAM_SIZE_REQUIREMENT,Team size: {team_size}
ID_AR_NA_GOLD,Gold Conquest
ID_AR_SM_GOLD,Win Gold Orbs!
ID_AR_LM_GOLD,Face off against other players' teams to earn various milestone rewards and a chance to win Gold Orbs!
ID_AR_MT_GOLD,Live: Gold Conquest
ID_AR_MS_GOLD,Your chance to win Gold Orbs!
