id,translation
ID_CHAL_COMPLETE,COMPLETED
ID_CHAL_COMPLETED,COMPLETED
ID_CHAL_NO_MORE_ATTEMPTS,NO MORE ATTEMPTS AVAILABLE
ID_CHAL_GO,GO
ID_CHAL_REWARDS,REWARDS
ID_CHAL_CHANCE_GOLD,Earn Gold
ID_CHAL_CHANCE_XP,Earn Training Modules
ID_CHAL_CHANCE_ABILITYMATS,Earn Ability Materials
ID_CHAL_CHANCE_SHARDS,Earn Orb Fragments
ID_CHAL_CHANCE_CATALYST,Earn Catalysts
ID_EVENT_CHANCE_HAND_TRAINING,Earn a ton of Training Modules
ID_EVENT_CHANCE_AIM_RESEARCH,Earn a ton of Ability Materials
ID_EVENT_LEGENDARY,Legendary
ID_EVENT_QUEST,Milestone
ID_EVENT_FLASH_EVENT,Flash
ID_EVENT_CHARACTER_EVENT,Character
ID_EVENT_BONUS_EVENT,BONUS<b>!</b>
ID_EVENT_SPECIAL_EVENT,Special
ID_EVENT_ALLIANCE,Alliance
ID_EVENT_SOLO,Solo
ID_EVENT_STARTS_IN,Starts in
ID_EVENT_ENDS_IN,Ends in
ID_EVENT_CTA_BTN_MILESTONES,<size=60>MILESTONES</size>
ID_CHAL_GOLD_NAME,Gold Rush
ID_CHAL_GOLD_DESC,Earn GOLD. Use GOLD to purchase supplies and improve your characters.
ID_CHAL_GOLD_STAGE1_NAME,Tier 1
ID_CHAL_GOLD_STAGE1_DESC,Earn GOLD.\n\nRecommendations:\n- Squad Lvl 9+
ID_CHAL_GOLD_STAGE2_NAME,Tier 2
ID_CHAL_GOLD_STAGE2_DESC,Earn some more GOLD.\n\nRecommendations:\n- Squad Lvl 14+
ID_CHAL_GOLD_STAGE3_NAME,Tier 3
ID_CHAL_GOLD_STAGE3_DESC,Earn more GOLD.\n\nRecommendations:\n- Squad Lvl 18+
ID_CHAL_GOLD_STAGE4_NAME,Tier 4
ID_CHAL_GOLD_STAGE4_DESC,Earn even more GOLD.\n\nRecommendations:\n- Squad Lvl 26+
ID_CHAL_GOLD_STAGE5_NAME,Tier 5
ID_CHAL_GOLD_STAGE5_DESC,Earn a lot of GOLD.\n\nRecommendations:\n- Squad Lvl 34+
ID_CHAL_GOLD_STAGE6_NAME,Tier 6
ID_CHAL_GOLD_STAGE6_DESC,Earn a ton of GOLD.\n\nRecommendations:\n- Squad Lvl 40+\n- Gear Tier 6+
ID_CHAL_GOLD_STAGE7_DESC,Earn a ton of GOLD.\n\nRecommendations:\n- Squad Lvl 50+\n- Gear Tier 7+
ID_CHAL_GOLD_STAGE8_DESC,Earn a ton of GOLD.\n\nRecommendations:\n- Squad Lvl 55+\n- Gear Tier 8+
ID_CHAL_GOLD_STAGE9_DESC,Earn a mass of GOLD.\n\nRecommendations:\n- Squad Lvl 65+\n- Gear Tier 11+\n\nOnly CITY allowed.
ID_CHAL_GOLD_STAGE10_DESC,Earn a huge supply of GOLD.\n\nRecommendations:\n- Squad Lvl 70+\n- Gear Tier 12+\n- Red Stars 4+\n\nOnly CITY allowed.
ID_CHAL_GOLD_STAGE11_DESC,Earn a massive cache of GOLD.\n\nRecommendations:\n- Squad Lvl 71+\n- Gear Tier 13+\n- Red Stars 4+\n\nOnly CITY allowed.
ID_CHAL_GOLD_STAGE12_DESC,Earn an enormous cache of GOLD.\n\nRecommendations:\n- Squad Lvl 75+\n- Gear Tier 14+\n- Red Stars 4+\n\nOnly CITY allowed.
ID_CHAL_GOLD_STAGE13_DESC,Earn a colossal cache of GOLD.\n\nRecommendations:\n- Squad Lvl 76+\n- Gear Tier 14+\n- Red Stars 4+\n\nOnly CITY allowed.
ID_CHAL_GOLD_STAGE14_DESC,Earn a spectacular supply of GOLD.\n\nRecommendations:\n- Squad Lvl 80+\n- Gear Tier 15+\n- Red Stars 4+\n\nOnly CITY allowed.
ID_CHAL_XP_NAME,Training Day
ID_CHAL_XP_DESC,Earn TRAINING MODULES. Use TRAINING MODULES to level up your characters.
ID_CHAL_XP_STAGE1_NAME,Tier 1
ID_CHAL_XP_STAGE1_DESC,Earn TRAINING MODULES.\n\nRecommendations:\n- Squad Lvl 9+
ID_CHAL_XP_STAGE2_NAME,Tier 2
ID_CHAL_XP_STAGE2_DESC,Earn some more TRAINING MODULES.\n\nRecommendations:\n- Squad Lvl 14+
ID_CHAL_XP_STAGE3_NAME,Tier 3
ID_CHAL_XP_STAGE3_DESC,Earn more TRAINING MODULES.\n\nRecommendations:\n- Squad Lvl 18+
ID_CHAL_XP_STAGE4_NAME,Tier 4
ID_CHAL_XP_STAGE4_DESC,Earn even more TRAINING MODULES.\n\nRecommendations:\n- Squad Lvl 26+
ID_CHAL_XP_STAGE5_NAME,Tier 5
ID_CHAL_XP_STAGE5_DESC,Earn a lot of TRAINING MODULES.\n\nRecommendations:\n- Squad Lvl 34+
ID_CHAL_XP_STAGE6_NAME,Tier 6
ID_CHAL_XP_STAGE6_DESC,Earn a ton of TRAINING MODULES.\n\nRecommendations:\n- Squad Lvl 40+\n- Gear Tier 6+
ID_CHAL_XP_STAGE7_DESC,Earn a ton of TRAINING MODULES.\n\nRecommendations:\n- Squad Lvl 50+\n- Gear Tier 7+
ID_CHAL_XP_STAGE8_DESC,Earn a ton of TRAINING MODULES.\n\nRecommendations:\n- Squad Lvl 55+\n- Gear Tier 8+
ID_CHAL_XP_STAGE9_DESC,Earn a mass of TRAINING MODULES.\n\nRecommendations:\n- Squad Lvl 65+\n- Gear Tier 11+\n\nOnly COSMIC allowed.
ID_CHAL_XP_STAGE10_DESC,Earn a huge supply of TRAINING MODULES.\n\nRecommendations:\n- Squad Lvl 70+\n- Gear Tier 12+\n- Red Stars 4+\n\nOnly COSMIC allowed.
ID_CHAL_XP_STAGE11_DESC,Earn a massive cache of TRAINING MODULES.\n\nRecommendations:\n- Squad Lvl 71+\n- Gear Tier 13+\n- Red Stars 4+\n\nOnly COSMIC allowed.
ID_CHAL_XP_STAGE12_DESC,Earn an enormous cache of TRAINING MODULES.\n\nRecommendations:\n- Squad Lvl 75+\n- Gear Tier 14+\n- Red Stars 4+\n\nOnly COSMIC allowed.
ID_CHAL_XP_STAGE13_DESC,Earn a colossal cache of TRAINING MODULES.\n\nRecommendations:\n- Squad Lvl 76+\n- Gear Tier 14+\n- Red Stars 4+\n\nOnly COSMIC allowed.
ID_CHAL_XP_STAGE14_DESC,Earn a spectacular supply of TRAINING MODULES.\n\nRecommendations:\n- Squad Lvl 80+\n- Gear Tier 15+\n- Red Stars 4+\n\nOnly COSMIC allowed.
ID_CHAL_HEALTHBUCKS_NAME,Medical Supply Run
ID_CHAL_HEALTHBUCKS_DESC,Earn HEALTH PACKS and BLITZ CHARGES. Use HEALTH PACKS to heal injured characters and BLITZ CHARGES to bypass their recovery time for battles in Blitz.\n\nOnly BRAWLERS & SUPPORT allowed.
ID_CHAL_CHANCE_HEALTHBUCKS,Earn Health Packs/Blitz Charges
ID_CHAL_HEALTHBUCKS_STAGE1_NAME,Tier 1
ID_CHAL_HEALTHBUCKS_STAGE1_DESC,Earn HEALTH PACKS/BLITZ CHARGES.\n\nRecommendations:\n- Squad Lvl 9+\n\nOnly BRAWLERS & SUPPORT allowed.
ID_CHAL_HEALTHBUCKS_STAGE2_NAME,Tier 2
ID_CHAL_HEALTHBUCKS_STAGE2_DESC,Earn some more HEALTH PACKS/BLITZ CHARGES.\n\nRecommendations:\n- Squad Lvl 14+\n\nOnly BRAWLERS & SUPPORT allowed.
ID_CHAL_HEALTHBUCKS_STAGE3_NAME,Tier 3
