id,translation
ID_DIALOG_HER_1_1_MEDIC_0,Looks like you need some medical attention. I'm calling in backup.
ID_DIALOG_HER_1_1_START_0,Kingpin is working with alien forces to abduct heroes and transport them in stasis orbs. You need to get to his warehouse before it's too late.
ID_DIALOG_HER_1_1_ELEKTRA_0,Kingpin said you might come looking for him. Your search ends here.
ID_DIALOG_HER_1_1_LUKE_0,Why don't you pick on someone your own size?
ID_DIALOG_HER_1_1_NICKFURY_0,Now take out these mercs and get to Kingpin.
ID_DIALOG_HER_1_2_INTRO_0,So when do we get to find out what S.T.R.I.K.E. is about and what's going on here?
ID_DIALOG_HER_1_2_INTRO_1,"That's on a ""need to know"" basis, Spider-Man. "
ID_DIALOG_HER_1_2_INTRO_2,All you currently need to know is that you need to stop Kingpin and recover those orbs.
ID_DIALOG_HER_1_2_INTRO_3,"Geez. If I didn't ""need to know,"" I wouldn't have asked."
ID_DIALOG_HER_1_2_START_0,The Kingpin ordered me to take you in. You're next on his list.
ID_DIALOG_HER_1_3_INTRO_0,"So Kingpin is trapping heroes in interdimensional orbs for some mysterious alien? "
ID_DIALOG_HER_1_3_INTRO_1,And Fury recruited us to stop him.
ID_DIALOG_HER_1_3_INTRO_2,That's all we know?
ID_DIALOG_HER_1_3_INTRO_3,Have you MET Nick Fury? I'm surprised he told us THAT much.
ID_DIALOG_HER_1_3_START_0,This is where Kingpin is keeping those interdimensional orbs.
ID_DIALOG_HER_1_3_START_1,How did Fisk get his hands on alien tech like this?
ID_DIALOG_HER_1_3_KINGPIN_0,Fools. I'm a part of something much bigger now.
ID_DIALOG_HER_1_3_KINGPIN_1,Didn't know you could get any bigger...
ID_DIALOG_HER_1_3_END_0,Good job stopping Kingpin. It will take us months to get enough power cores to open all these orbs.
ID_DIALOG_HER_1_3_END_1,And there are heroes trapped in ALL of these orbs?
ID_DIALOG_HER_1_3_END_2,We'll have to open them to know for sure.
ID_DIALOG_HER_1_3_END_3,"I let one of the trucks escape so we can follow it to the source. "
ID_DIALOG_HER_1_3_END_4,That's your next objective.
ID_DIALOG_HER_1_4_INTRO_0,We traced the truck back to a covert Hydra base in the mountains.
ID_DIALOG_HER_1_4_INTRO_1,HYDRA? The scary world domination guys? What have they got to do with this?
ID_DIALOG_HER_1_4_INTRO_2,"That's what we need to find out. "
ID_DIALOG_HER_1_4_INTRO_3,Get in there and find out what Hydra is doing with those orbs.
ID_DIALOG_HER_1_5_INTRO_0,Kingpin and Hydra are abducting heroes and trapping them in orbs.
ID_DIALOG_HER_1_5_INTRO_1,But what is Hydra doing with the orbs once they're here?
ID_DIALOG_HER_1_5_INTRO_2,I get the feeling we're about to find out.
ID_DIALOG_HER_1_5_CROSSBONES_0,"Great. More heroes for the boss. "
ID_DIALOG_HER_1_5_CROSSBONES_1,"Didn't even have to go out and abduct you guys. "
ID_DIALOG_HER_1_6_INTRO_0,All the orbs are being moved to the center of the base.
ID_DIALOG_HER_1_6_INTRO_1,That must be where we'll find our answers.
ID_DIALOG_HER_1_6_WINTERSOLDIER_0,You're too late. This portal is already fully active.
ID_DIALOG_HER_1_6_WINTERSOLDIER_1,Wait. Did he say portal?
ID_DIALOG_DEVICE_ACTIVATED_1_0,1 of 4 stages activated.
ID_DIALOG_DEVICE_ACTIVATED_2_0,2 of 4 stages activated.
ID_DIALOG_DEVICE_ACTIVATED_3_0,3 of 4 stages activated.
ID_DIALOG_DEVICE_ACTIVATED_DONE_0,"The device has been activated. Mission failed. "
ID_DIALOG_HER_1_6_END_0,Interdimensional orbs. Genetically engineered soldiers. I picked a bad day to ditch school and join S.T.R.I.K.E.!
ID_DIALOG_HER_1_7_INTRO_0,Colonel Fury says you need some firepower.
ID_DIALOG_HER_1_7_INTRO_1,"So he called you? Things are worse than I thought. "
ID_DIALOG_HER_1_7_INTRO_2,I'm here to do whatever it takes to complete the mission.
ID_DIALOG_HER_1_7_INTRO_3,"That's what I'm afraid of. "
ID_DIALOG_HER_1_7_START_0,You will not stop Hydra and its new allies from converting this world.
ID_DIALOG_HER_1_7_END_0,Hydra is sending the orbs through an interdimensional portal. We need to shut it down.
ID_DIALOG_HER_1_8_INTRO_0,Those Hydra Operators are sending the orbs through that interdimensional portal.
ID_DIALOG_HER_1_8_INTRO_1,I got this. The rest of you move out of the way.
ID_DIALOG_HER_1_8_INTRO_2,"Punisher, we need to work as a team if we're going to get this done."
ID_DIALOG_HER_1_8_INTRO_3,"Fine, Cage. How do you want to do this?"
ID_DIALOG_HER_1_8_INTRO_4,We take down the <color=#fff568>OPERATORS</color> first to stop them from sending the orbs through.
ID_DIALOG_HER_1_8_INTRO_5,"You can take the lead on this one, Cage. But if things go sideways..."
ID_DIALOG_HER_1_8_INTRO_6,I'm doing it my way.
ID_DIALOG_HER_1_8_START_0,The Hydra Operators are sending the orbs through the portal.
ID_DIALOG_HER_1_8_START_1,We need to stop them before they send all the orbs through the portal.
ID_DIALOG_HER_1_8_START_2,"THIS MISSION HAS A SPECIAL OBJECTIVE. "
ID_DIALOG_HER_1_8_START_3,TAKE OUT THE HYDRA <color=#fff568>OPERATORS</color> BEFORE THEY GET TO STAGE 4.
ID_DIALOG_PORTAL_ACTIVATED_1_0,The Hydra Operators have sent the first orb through the portal.
ID_DIALOG_PORTAL_ACTIVATED_1_1,1 / 4 stages complete.
ID_DIALOG_PORTAL_ACTIVATED_2_0,They've sent half the orbs through the portal.
ID_DIALOG_PORTAL_ACTIVATED_2_1,2 / 4 stages complete.
ID_DIALOG_PORTAL_ACTIVATED_3_0,They've sent another orb through the portal!
ID_DIALOG_PORTAL_ACTIVATED_3_1,3 / 4 stages complete.
ID_DIALOG_PORTAL_ACTIVATED_DONE_0,We didn't take out the OPERATORS in time. We're too late.
ID_DIALOG_PORTAL_ACTIVATED_DONE_1,4 / 4 stages complete.
ID_DIALOG_HER_1_8_END_0,"We stopped Hydra from sending those orbs through the portal. "
ID_DIALOG_HER_1_8_END_1,"But I get the feeling this fight is far from over. "
ID_DIALOG_HER_1_8_END_2,"Guys, my Spidey-Sense is going off the charts. Something BIG is heading this way. "
ID_DIALOG_HER_1_9_INTRO_0,What now?
ID_DIALOG_HER_1_9_INTRO_1,Now we take down these weird blue guys guarding this portal and destroy it.
ID_DIALOG_HER_1_9_INTRO_2,You make it sound so easy.
ID_DIALOG_HER_1_9_START_0,What's the deal with these blue aliens guarding the portal?
ID_DIALOG_HER_1_9_START_1,Don't care. As long as they go down when I shoot them.
ID_DIALOG_HER_1_9_HULK_0,Hulk SMASH!
ID_DIALOG_HER_1_9_HULK_1,"Uh, guys? What's the Hulk doing on the wrong side of the ""good guy"" line?"
ID_DIALOG_HER_1_9_END_0,"What was up with that weaker, but equally scary, Hulk attacking us?!"
ID_DIALOG_HER_1_9_END_1,That was NOT the Hulk from our dimension. He was a corrupted version from an alternate dimension.
ID_DIALOG_HER_1_9_END_2,Who in the what now?
ID_DIALOG_HER_1_9_END_3,Get back to base. It's time I told you the true purpose of S.T.R.I.K.E. and what we're dealing with.
ID_DIALOG_HER_1_9_END_4,"I guess that means we finally ""need to know."""
ID_DIALOG_HER_2_1_INTRO_0,I created S.T.R.I.K.E. to deal with interdimensional threats...
ID_DIALOG_HER_2_1_INTRO_1,The kind of stuff even S.H.I.E.L.D. or the Avengers are not equipped to deal with.
ID_DIALOG_HER_2_1_INTRO_2,So I'm assuming this qualifies?
ID_DIALOG_HER_2_1_INTRO_3,"Definitely. Interdimensional portals are opening up all over the world. "
ID_DIALOG_HER_2_1_INTRO_4,Corrupted versions of Earth's most powerful and dangerous people are pouring out through them.
ID_DIALOG_HER_2_1_INTRO_5,And we're the only ones who can stop them.
ID_DIALOG_HER_2_1_START_0,Can't we all just get along?
ID_DIALOG_HER_2_1_START_1,These are NOT heroes from our dimension.
ID_DIALOG_HER_2_1_START_2,They are corrupted versions from alternate dimensions. Take them down.
ID_DIALOG_HER_2_1_MID_0,Soon you will all bow to the new king.
ID_DIALOG_HER_2_2_INTRO_0,I'm in communication with Nick Furys from other dimensions.
ID_DIALOG_HER_2_2_INTRO_1,Many warned me about this interdimensional threat before losing contact.
ID_DIALOG_HER_2_2_INTRO_2,I had hoped they would never find our dimension.
ID_DIALOG_HER_2_2_INTRO_3,What's so special about our dimension?
ID_DIALOG_HER_2_2_INTRO_4,"Most dimensions only connect to one or two others. But ours is unique. "
ID_DIALOG_HER_2_2_INTRO_5,"It's a Nexus between dimensions... a gateway to countless other Earths. "
ID_DIALOG_HER_2_2_INTRO_6,"If this dimension falls, the invaders will have access to thousands of other dimensions."
ID_DIALOG_HER_2_2_START_0,"Aww, Iron Man? They corrupted you, too?"
ID_DIALOG_HER_2_2_START_1,"Not corrupted, Parker. Liberated."
ID_DIALOG_HER_2_2_START_2,We have all been united for one singular purpose. You're next.
ID_DIALOG_HER_2_2_START_3,"Gonna have to pass on that offer, Mr. Stark. "
ID_DIALOG_HER_2_2_START_4,"Kinda enjoying the whole ""free will"" thing."
ID_DIALOG_HER_2_2_MORE_0,There's more of you?
ID_DIALOG_HER_2_2_MORE_1,"We got a whole army of Iron Mans from other dimensions. "
ID_DIALOG_HER_2_2_MORE_2,You really ARE full of yourself.
ID_DIALOG_HER_2_3_INTRO_0,A group of corrupted Rocket Raccoons is running rampant through the city.
