id,translation
ID_EXTRA_ABILITY_ISO8_ASSASSIN_NAME,Striker
ID_EXTRA_ABILITY_ISO8_ASSASSIN_OVERVIEW,Enhance attacks and gain an extra attack on <color=#9055FF>Vulnerable</color> enemies
ID_EXTRA_ABILITY_ISO8_ASSASSIN_1_DESC,"On primary hit, if the target is <color=#9055FF>Vulnerable</color>, make an <color=#9055FF>Iso Bonus Attack</color> at <color=#86e619>50%</color> Damage, then clear <color=#86e619>1</color> <color=#9055FF>Vulnerable</color>. This attack is based on the character's basic. \nGain +<color=#86e619>{thislevel.iso8.assassin.passive_stats.1.delta}%</color> Damage."
ID_EXTRA_ABILITY_ISO8_ASSASSIN_2_DESC,"On primary hit, if the target is <color=#9055FF>Vulnerable</color>, make an <color=#9055FF>Iso Bonus Attack</color> at <color=#86e619>50%</color> Damage, then clear <color=#86e619>1</color> <color=#9055FF>Vulnerable</color>. This attack is based on the character's basic.\nGain +<color=#86e619>{thislevel.iso8.assassin.passive_stats.1.delta}%</color> Damage.\nGain +<color=#86e619>{thislevel.iso8.assassin.passive_stats.0.delta}%</color> Max Health."
ID_EXTRA_ABILITY_ISO8_ASSASSIN_3_DESC,"On primary hit, if the target is <color=#9055FF>Vulnerable</color>, make an <color=#9055FF>Iso Bonus Attack</color> at <color=#86e619>75%</color> Damage, then clear <color=#86e619>1</color> <color=#9055FF>Vulnerable</color>. This attack is based on the character's basic.\nGain +<color=#86e619>{thislevel.iso8.assassin.passive_stats.1.delta}%</color> Damage.\nGain +<color=#86e619>{thislevel.iso8.assassin.passive_stats.0.delta}%</color> Max Health."
ID_EXTRA_ABILITY_ISO8_ASSASSIN_4_DESC,"On primary hit, if the target is <color=#9055FF>Vulnerable</color>, make an <color=#9055FF>Iso Bonus Attack</color> at <color=#86e619>75%</color> Damage, then clear <color=#86e619>1</color> <color=#9055FF>Vulnerable</color>. This attack is based on the character's basic.\nGain +<color=#86e619>{thislevel.iso8.assassin.passive_stats.1.delta}%</color> Damage.\nGain +<color=#86e619>{thislevel.iso8.assassin.passive_stats.0.delta}%</color> Max Health."
ID_EXTRA_ABILITY_ISO8_ASSASSIN_5_DESC,"On primary hit, if the target is <color=#9055FF>Vulnerable</color>, make an <color=#9055FF>Iso Bonus Attack</color> at <color=#86e619>100%</color> Damage, then clear <color=#86e619>1</color> <color=#9055FF>Vulnerable</color>. This attack is based on the character's basic.\nGain +<color=#86e619>{thislevel.iso8.assassin.passive_stats.1.delta}%</color> Damage.\nGain +<color=#86e619>{thislevel.iso8.assassin.passive_stats.0.delta}%</color> Max Health."
ID_EXTRA_ABILITY_ISO8_ASSASSIN_1_OVERRIDE,"On primary hit, if the target is <color=#9055FF>Vulnerable</color>, make an <color=#9055FF>Iso Bonus Attack</color> at <color=#86e619>{thislevel.iso8.assassin.passive.0.action.0.recipient_stat.0.delta}%</color> Damage\nGain +<color=#86e619>{thislevel.iso8.assassin.passive_stats.1.delta}%</color> Damage"
ID_EXTRA_ABILITY_ISO8_ASSASSIN_1_UPGRADE,Gain +<color=#86e619>{nextlevel.iso8.assassin.passive_stats.0.delta - thislevel.iso8.assassin.passive_stats.0.delta}%</color> Max Health
ID_EXTRA_ABILITY_ISO8_ASSASSIN_2_UPGRADE,Gain +<color=#86e619>25%</color> damage for <color=#9055FF>Iso Bonus Attack</color>\nGain +<color=#86e619>{nextlevel.iso8.assassin.passive_stats.1.delta - thislevel.iso8.assassin.passive_stats.1.delta}%</color> Damage
ID_EXTRA_ABILITY_ISO8_ASSASSIN_3_UPGRADE,Gain +<color=#86e619>{nextlevel.iso8.assassin.passive_stats.0.delta - thislevel.iso8.assassin.passive_stats.0.delta}%</color> Max Health
ID_EXTRA_ABILITY_ISO8_ASSASSIN_4_UPGRADE,Gain +<color=#86e619>25%</color> damage for <color=#9055FF>Iso Bonus Attack</color>\nGain +<color=#86e619>{nextlevel.iso8.assassin.passive_stats.1.delta - thislevel.iso8.assassin.passive_stats.1.delta}%</color> Damage
ID_EXTRA_ABILITY_ISO8_SKIRMISH_NAME,Skirmisher
ID_EXTRA_ABILITY_ISO8_SKIRMISH_OVERVIEW,Create openings by applying <color=#9055FF>Vulnerable</color>
ID_EXTRA_ABILITY_ISO8_SKIRMISH_1_DESC,"On primary hit, apply <color=#9055FF>Vulnerable</color> to primary target.\nThese effects can also occur on Assist and counterattacks."
ID_EXTRA_ABILITY_ISO8_SKIRMISH_2_DESC,"On primary hit, apply <color=#9055FF>Vulnerable</color> to primary target.\nGain +<color=#86e619>{thislevel.iso8.skirmish.passive_stats.0.delta}%</color> Max Health.\nThese effects can also occur on Assist and counterattacks."
ID_EXTRA_ABILITY_ISO8_SKIRMISH_3_DESC,"On primary hit, apply <color=#9055FF>Vulnerable</color> to primary target.\nOn primary hit, if the target is <color=#9055FF>Vulnerable</color>, clear <color=#86e619>{thislevel.iso8.skirmish.passive.0.action.0.count}</color> positive effect.\nGain +<color=#86e619>{thislevel.iso8.skirmish.passive_stats.0.delta}%</color> Max Health.\nThese effects can also occur on Assist and counterattacks."
ID_EXTRA_ABILITY_ISO8_SKIRMISH_4_DESC,"On primary hit, apply <color=#9055FF>Vulnerable</color> to primary target.\nOn primary hit, if the target is <color=#9055FF>Vulnerable</color>, clear <color=#86e619>{thislevel.iso8.skirmish.passive.0.action.0.count}</color> positive effect.\nGain +<color=#86e619>{thislevel.iso8.skirmish.passive_stats.0.delta}%</color> Max Health.\nThese effects can also occur on Assist and counterattacks."
ID_EXTRA_ABILITY_ISO8_SKIRMISH_5_DESC,"On primary hit, apply <color=#9055FF>Vulnerable</color> to primary target.\nOn primary hit, if the target is <color=#9055FF>Vulnerable</color>, clear <color=#86e619>{thislevel.iso8.skirmish.passive.0.action.0.count}</color> positive effects.\nGain +<color=#86e619>{thislevel.iso8.skirmish.passive_stats.0.delta}%</color> Max Health.\nGain +<color=#86e619>{thislevel.iso8.skirmish.passive_stats.1.delta}%</color> Focus.\nThese effects can also occur on Assist and counterattacks."
ID_EXTRA_ABILITY_ISO8_SKIRMISH_1_UPGRADE,Gain +<color=#86e619>{nextlevel.iso8.skirmish.passive_stats.0.delta - thislevel.iso8.skirmish.passive_stats.0.delta}%</color> Max Health
ID_EXTRA_ABILITY_ISO8_SKIRMISH_2_UPGRADE,"On primary hit, if the target is <color=#9055FF>Vulnerable</color>, clear <color=#86e619>{thislevel.iso8.skirmish.passive.0.action.0.count}</color> positive effect\nThese effects can also occur on Assist and counterattacks"
