id,translation
ID_MOTD_NA_WELCOME,Welcome!
ID_MOTD_DE_WELCOME,Thank you for playing MARVEL Strike Force!
ID_MOTD_NA_WFH_CARE_PACKAGE,"Stay safe, Commander"
ID_MOTD_DE_WFH_CARE_PACKAGE,Log in each day to receive special supply drops!
ID_MOTD_NA_GEAR,Remember to EQUIP GEAR
ID_MOTD_DE_GEAR,Gear greatly boosts your characters' stats!
ID_MOTD_NA_RAID,You've unlocked Alliance Raids!
ID_MOTD_DE_RAID,Participate in raids to earn rare Ability Materials
ID_MOTD_NA_REDSTAR,Red Star Promotions
ID_MOTD_DE_REDSTAR,Transform your roster into an elite squad with Red Star Promotions!
ID_MOTD_NA_ISO8,You've unlocked Iso-8!
ID_MOTD_DE_ISO8,Customize your characters like never before!
ID_DR_MOTD_NA_WOLVERINE,Daily Objectives: Wolverine!
ID_DR_MOTD_DE_WOLVERINE,Earn Wolverine shards by completing your Daily Objectives every day!
ID_MOTD_NA_CROSSBONES,Recruit Crossbones!
ID_MOTD_DE_CROSSBONES,Earn Crossbones shards by completing the Double-Crossed event
ID_MOTD_NA_ACHIEVEMENTS_ADDITION,More Achievements Added
ID_MOTD_DE_ACHIEVEMENTS_ADDITION,Earn more rewards by leveling up and growing your roster!
ID_MOTD_NA_CHALLENGES_TIER_UPDATE,New Challenge Tiers have Arrived!
ID_MOTD_DE_CHALLENGES_TIER_UPDATE,Test your abilities with new extended tiers to earn more rewards
ID_MOTD_NA_MAINTENANCE_GENERAL,Upcoming Maintenance
ID_MOTD_DE_MAINTENANCE_GENERAL,We will undergo maintenance starting at 11AM (PDT) (04/25).
ID_MOTD_NA_META_PLAYER_GUIDE,Meta Player Guide
ID_MOTD_DE_META_PLAYER_GUIDE,Tap here to learn how to start planning your progress and roster goals
ID_MOTD_NA_DARKDIMENSION,Dark Dimension
ID_MOTD_DE_DARKDIMENSION,Build a 6-star squad to enter - if you dare!
ID_MOTD_NA_DARKDIMENSION_3,Dark Dimension III
ID_MOTD_DE_DARKDIMENSION_3,An insidious new realm has opened up - enter if you dare!
ID_MOTD_NA_WARWEB,Alliance War Site Live!
ID_MOTD_DE_WARWEB,Tap to visit and learn the ins and outs of War
ID_MOTD_NA_EARLY_LC_CALENDAR,Don't Miss a Day!
ID_MOTD_DE_EARLY_LC_CALENDAR,Continue logging in each day to unlock 3 ultimate heroes!
ID_MOTD_NA_RATETHEAPP_NO_STAR_MENTION,Love MARVEL Strike Force?
ID_MOTD_DE_RATETHEAPP_NO_STAR_MENTION,We want your feedback! Rate us and leave a review!
ID_MOTD_DE_RATETHEAPP_5_STAR_MENTION,Leave us a 5-Star rating and a review!
