id,translation
ID_MILESTONE_BLITZ_AIMCONTROL_INFECT,Win a Blitz battle with: A.I.M. Infector
ID_MILESTONE_BLITZ_AIMDMG_OFFENSE,Win a Blitz battle with: A.I.M. Monstrosity
ID_MILESTONE_BLITZ_AIMDMG_SPEED,Win a Blitz battle with: A.I.M. Assaulter
ID_MILESTONE_BLITZ_AIMSUPPORT_HEAL,Win a Blitz battle with: A.I.M. Researcher
ID_MILESTONE_BLITZ_AIMTANK_TAUNT,Win a Blitz battle with: A.I.M. Security
ID_MILESTONE_BLITZ_AMERICACHAVEZ,Win a Blitz battle with: America Chavez
ID_MILESTONE_BLITZ_ANTIVENOM,Win a Blitz battle with: Anti-Venom
ID_MILESTONE_BLITZ_ANTMAN,Win a Blitz battle with: Ant-Man
ID_MILESTONE_BLITZ_BARONMORDO,Win a Blitz battle with: Mordo
ID_MILESTONE_BLITZ_BEAST,Win a Blitz battle with: Beast
ID_MILESTONE_BLITZ_BLACKBOLT,Win a Blitz battle with: Black Bolt
ID_MILESTONE_BLITZ_BLACKPANTHER,Win a Blitz battle with: Black Panther
ID_MILESTONE_BLITZ_BLACKWIDOW,Win a Blitz battle with: Black Widow
ID_MILESTONE_BLITZ_BLOB,Win a Blitz battle with: Blob
ID_MILESTONE_BLITZ_BULLSEYE,Win a Blitz battle with: Bullseye
ID_MILESTONE_BLITZ_CABLE,Win a Blitz battle with: Cable
ID_MILESTONE_BLITZ_CAPTAINAMERICA,Win a Blitz battle with: Captain America
ID_MILESTONE_BLITZ_CAPTAINMARVEL,Win a Blitz battle with: Captain Marvel
ID_MILESTONE_BLITZ_CARNAGE,Win a Blitz battle with: Carnage
ID_MILESTONE_BLITZ_COLOSSUS,Win a Blitz battle with: Colossus
ID_MILESTONE_BLITZ_CORVUSGLAIVE,Win a Blitz battle with: Corvus Glaive
ID_MILESTONE_BLITZ_COULSON,Win a Blitz battle with: Agent Coulson
ID_MILESTONE_BLITZ_CROSSBONES,Win a Blitz battle with: Crossbones
ID_MILESTONE_BLITZ_CRYSTAL,Win a Blitz battle with: Crystal
ID_MILESTONE_BLITZ_CULLOBSIDIAN,Win a Blitz battle with: Cull Obsidian
ID_MILESTONE_BLITZ_CYCLOPS,Win a Blitz battle with: Cyclops
ID_MILESTONE_BLITZ_DAREDEVIL,Win a Blitz battle with: Daredevil
ID_MILESTONE_BLITZ_DEADPOOL,Win a Blitz battle with: Deadpool
ID_MILESTONE_BLITZ_DOCTOROCTOPUS,Win a Blitz battle with: Doctor Octopus
ID_MILESTONE_BLITZ_DOCTORSTRANGE,Win a Blitz battle with: Doctor Strange
ID_MILESTONE_BLITZ_DOMINO,Win a Blitz battle with: Domino
ID_MILESTONE_BLITZ_DRAX,Win a Blitz battle with: Drax
ID_MILESTONE_BLITZ_EBONYMAW,Win a Blitz battle with: Ebony Maw
ID_MILESTONE_BLITZ_ELSABLOODSTONE,Win a Blitz battle with: Elsa Bloodstone
ID_MILESTONE_BLITZ_ELECTRO,Win a Blitz battle with: Electro
ID_MILESTONE_BLITZ_ELEKTRA,Win a Blitz battle with: Elektra
ID_MILESTONE_BLITZ_EMMAFROST,Win a Blitz battle with: Emma Frost
ID_MILESTONE_BLITZ_FALCON,Win a Blitz battle with: Falcon
ID_MILESTONE_BLITZ_GAMORA,Win a Blitz battle with: Gamora
ID_MILESTONE_BLITZ_GHOSTRIDER,Win a Blitz battle with: Ghost Rider
ID_MILESTONE_BLITZ_GRAVITON,Win a Blitz battle with: Graviton
ID_MILESTONE_BLITZ_GROOT,Win a Blitz battle with: Groot
ID_MILESTONE_BLITZ_HANDCONTROL_HEALBLOCK,Win a Blitz battle with: Hand Assassin
ID_MILESTONE_BLITZ_HANDDMG_BONUS,Win a Blitz battle with: Hand Blademaster
ID_MILESTONE_BLITZ_HANDDMG_UNBUFF,Win a Blitz battle with: Hand Archer
ID_MILESTONE_BLITZ_HANDSUPPORT_HEAL,Win a Blitz battle with: Hand Sorceress
ID_MILESTONE_BLITZ_HANDTANK_STEALTH,Win a Blitz battle with: Hand Sentry
ID_MILESTONE_BLITZ_HAWKEYE,Win a Blitz battle with: Hawkeye
ID_MILESTONE_BLITZ_HEIMDALL,Win a Blitz battle with: Heimdall
ID_MILESTONE_BLITZ_HELA,Win a Blitz battle with: Hela
ID_MILESTONE_BLITZ_HULK,Win a Blitz battle with: Hulk
ID_MILESTONE_BLITZ_HUMANTORCH,Win a Blitz battle with: Human Torch
ID_MILESTONE_BLITZ_HYDRADMG_AOE,Win a Blitz battle with: Hydra Grenadier
ID_MILESTONE_BLITZ_HYDRADMG_BUFF,Win a Blitz battle with: Hydra Rifle Trooper
ID_MILESTONE_BLITZ_HYDRADMG_SINGLE,Win a Blitz battle with: Hydra Sniper
ID_MILESTONE_BLITZ_HYDRASUPPORT_HEAL,Win a Blitz battle with: Hydra Scientist
ID_MILESTONE_BLITZ_HYDRATANK_TAUNT,Win a Blitz battle with: Hydra Armored Guard
ID_MILESTONE_BLITZ_INVISIBLEWOMAN,Win a Blitz battle with: Invisible Woman
ID_MILESTONE_BLITZ_IRONFIST,Win a Blitz battle with: Iron Fist
ID_MILESTONE_BLITZ_IRONHEART,Win a Blitz battle with: Ironheart
ID_MILESTONE_BLITZ_IRONMAN,Win a Blitz battle with: Iron Man
ID_MILESTONE_BLITZ_JESSICAJONES,Win a Blitz battle with: Jessica Jones
ID_MILESTONE_BLITZ_JUGGERNAUT,Win a Blitz battle with: Juggernaut
ID_MILESTONE_BLITZ_KARNAK,Win a Blitz battle with: Karnak
ID_MILESTONE_BLITZ_KILLMONGER,Win a Blitz battle with: Killmonger
ID_MILESTONE_BLITZ_KINGPIN,Win a Blitz battle with: Kingpin
ID_MILESTONE_BLITZ_KORATH,Win a Blitz battle with: Korath the Pursuer
ID_MILESTONE_BLITZ_KREECONTROL_ASSIST,Win a Blitz battle with: Kree Noble
ID_MILESTONE_BLITZ_KREEDMG_OFFENSE,Win a Blitz battle with: Kree Cyborg
ID_MILESTONE_BLITZ_KREEDMG_SPEED,Win a Blitz battle with: Kree Reaper
ID_MILESTONE_BLITZ_KREESUPPORT_HOT,Win a Blitz battle with: Kree Oracle
ID_MILESTONE_BLITZ_KREETANK_COUNTER,Win a Blitz battle with: Kree Royal Guard
ID_MILESTONE_BLITZ_LOKI,Win a Blitz battle with: Loki
ID_MILESTONE_BLITZ_LUKECAGE,Win a Blitz battle with: Luke Cage
ID_MILESTONE_BLITZ_MAGNETO,Win a Blitz battle with: Magneto
ID_MILESTONE_BLITZ_MANTIS,Win a Blitz battle with: Mantis
ID_MILESTONE_BLITZ_MBAKU,Win a Blitz battle with: M'Baku
ID_MILESTONE_BLITZ_MERCDMG_GENERAL,Win a Blitz battle with: Mercenary Soldier
ID_MILESTONE_BLITZ_MERCDMG_SINGLE,Win a Blitz battle with: Mercenary Sniper
ID_MILESTONE_BLITZ_MERCSUPPORT_BUFFS,Win a Blitz battle with: Mercenary Lieutenant
ID_MILESTONE_BLITZ_MERCTANK_DEBUFF,Win a Blitz battle with: Mercenary Riot Guard
ID_MILESTONE_BLITZ_MERCTANK_TAUNT,Win a Blitz battle with: Mercenary Bodyguard
ID_MILESTONE_BLITZ_MINERVA,Win a Blitz battle with: Minn-Erva
ID_MILESTONE_BLITZ_MRFANTASTIC,Win a Blitz battle with: Mister Fantastic
ID_MILESTONE_BLITZ_MRSINISTER,Win a Blitz battle with: Mister Sinister
ID_MILESTONE_BLITZ_MSMARVEL,Win a Blitz battle with: Ms. Marvel
ID_MILESTONE_BLITZ_MYSTERIO,Win a Blitz battle with: Mysterio
ID_MILESTONE_BLITZ_MYSTIQUE,Win a Blitz battle with: Mystique
ID_MILESTONE_BLITZ_NAMOR,Win a Blitz battle with: Namor
ID_MILESTONE_BLITZ_NEBULA,Win a Blitz battle with: Nebula
