id,translation
ID_POWERCORES_BONUS_BONUSHC,{b} EXTRA POWER CORES
ID_POWERCORES_BONUS_PCT,{dpct}% DISCOUNT
ID_POWERCORES_BONUS_TEST,{dpct}% DISCOUNT {bpct}% MORE {b} MORE
ID_SHOP_CATEGORY_ARENA_ORBS_LABEL,ORBS
ID_SHOP_CATEGORY_ARENA_SHIPMENTS_LABEL,SUPPLIES
ID_SHOP_CATEGORY_BATTLEGROUND_DESCRIPTION,Directly purchase the items you need.
ID_SHOP_CATEGORY_BATTLEGROUND_LABEL,ARENA STORE
ID_SHOP_CATEGORY_CREDITS_DESCRIPTION,Power Cores are used to purchase items.
ID_SHOP_CATEGORY_CREDITS_LABEL,POWER CORES
ID_SHOP_CATEGORY_ISO8_ORBS_LABEL,ISO-8 ORBS
ID_SHOP_CATEGORY_ISO8_SHIPMENTS_LABEL,SUPPLIES
ID_SHOP_CATEGORY_OFFERS_DESCRIPTION,Check out these amazing offers!
ID_SHOP_CATEGORY_OFFERS_LABEL,OFFERS
ID_SHOP_CATEGORY_ORBS_DESCRIPTION,Open Orbs to collect powerful items.
ID_SHOP_CATEGORY_ORBS_LABEL,ORBS
ID_SHOP_CATEGORY_RAID_ORBS_LABEL,RAID ORBS
ID_SHOP_CATEGORY_RAID_SHIPMENTS_LABEL,SUPPLIES
ID_SHOP_CATEGORY_SHIPMENTS_DESCRIPTION,Directly purchase the items you need.
ID_SHOP_CATEGORY_SHIPMENTS_LABEL,SUPPLIES
ID_SHOP_CATEGORY_WAR_SHIPMENTS_LABEL,SUPPLIES
ID_SHOP_DURATION,{duration}
ID_SHOP_IAP_BUNDLE_1_DESCRIPTION,Get ready for combat with this bundle!
ID_SHOP_IAP_BUNDLE_1_NAME,First Bundle
ID_SHOP_IAP_BUNDLE_2_DESCRIPTION,A better bundle since it costs more.
ID_SHOP_IAP_BUNDLE_2_NAME,Better Bundle
ID_SHOP_IAP_HARD_CURRENCY_1_NAME,Power Cores
ID_SHOP_IAP_HARD_CURRENCY_2_NAME,Cluster of Power Cores
ID_SHOP_IAP_HARD_CURRENCY_3_NAME,Bundle of Power Cores
ID_SHOP_IAP_HARD_CURRENCY_4_NAME,Case of Power Cores
ID_SHOP_IAP_HARD_CURRENCY_5_NAME,Crate of Power Cores
ID_SHOP_IAP_HARD_CURRENCY_6_NAME,Shipment of Power Cores
ID_SHOP_IAP_SUB_MON_1_DESC,Monthly subscription giving daily goods
ID_SHOP_IAP_SUB_MON_1_NAME,Monthly Subscription II A
ID_SHOP_IAP_SUB_WK_1_DESC,Weekly subscription giving daily goods
ID_SHOP_IAP_SUB_WK_1_NAME,Weekly Subscription I A
ID_SHOP_MORE_REFRESHES,More Refreshes\nin {duration}
ID_SHOP_MUST_BE_LOGGED_IN_BODY,"You're not logged into an account that can make purchases. If you want to purchase offers or power cores, please log in."
ID_SHOP_MUST_BE_LOGGED_IN_TITLE,No Account Data
ID_SHOP_SHIPMENTS_REFRESH,SUPPLIES REFRESH in {duration}
ID_SHOP_SPECIAL_BEST_OFFER,BEST OFFER
ID_SHOP_SPECIAL_MOST_POPULAR,MOST POPULAR
ID_SHOP_TERMS_OF_USE,"By purchasing, you agree to our <color=#ffffff>Terms of Service</color>."
ID_OF_TAG_BONUS_10,10% BONUS
ID_OF_TAG_BONUS_15,15% BONUS
ID_OF_TAG_BONUS_20,20% BONUS
ID_OF_TAG_BONUS_25,25% BONUS
ID_OF_TAG_BONUS_30,30% BONUS
ID_OF_TAG_BONUS_35,35% BONUS
ID_OF_TAG_BONUS_40,40% BONUS
ID_OF_TAG_BONUS_45,45% BONUS
ID_OF_TAG_BONUS_50,50% BONUS
ID_OF_TAG_BONUS_60,60% BONUS
ID_OF_TAG_BONUS_70,70% BONUS
ID_OF_TAG_BONUS_75,75% BONUS
ID_OF_TAG_BONUS_80,80% BONUS
ID_OF_TAG_BONUS_90,90% BONUS
