id,translation
ID_ABILITY_UNLOCKED,ABILITY UNLOCKED!
ID_ACHIEVE_ARENAWINS,Win Battles in Blitz
ID_ACHIEVE_EQUIPGEAR,Equip gear on characters
ID_ACHIEVE_LOYALTYADVANCEMENT,Increase the Star Rank of your characters
ID_ACHIEVE_PLAYERLEVEL,Increase your player level
ID_ACHIEVEMENTS,Achievements
ID_APPLY,APPLY
ID_ARENA_FEATURED_ARENA_HERO,FEATURED CHARACTER
ID_ARENA_FINDING_OPPONENTS,Finding Opponents
ID_ARENA_MAINMENU_BATTLE,BATTLE
ID_ARENA_MAINMENU_CHANGETEAM,CHANGE TEAM
ID_ARENA_MAINMENU_DANGER,DANGER
ID_ARENA_MAINMENU_LEADERBOARDS,LEADERBOARD
ID_ARENA_MAINMENU_MULTIPLIER,MULTIPLIER
ID_ARENA_MAINMENU_NEW_OPPONENT,NEW OPPONENT
ID_ARENA_MAINMENU_POINTS_INCREASE,+{pts}
ID_ARENA_MAINMENU_RECHARGE,BATTLE
ID_ARENA_MAINMENU_REFRESH_LIMIT_REACHED_DESC,Characters in this team have reached today's recharge limit.
ID_ARENA_MAINMENU_REFRESH_LIMIT_REACHED_TITLE,RECHARGE LIMIT REACHED
ID_ARENA_MAINMENU_REWARDS,REWARDS
ID_ARENA_MAINMENU_NOREWARDS,NO REWARDS
ID_ARENA_MAINMENU_SEASONENDS,Season ends in
ID_ARENA_MAINMENU_SHOP,STORE
ID_ARENA_MAINMENU_TIER,TIER
ID_ARENA_MAX_MILESTONE,MAX MILESTONE
ID_ARENA_MILESTONE,MILESTONE {milestone}
ID_ARENA_MILESTONE_COMPLETE,COMPLETED
ID_ARENA_NO_OPPONENT_FOUND,No Opponent Found
ID_ARENA_FIND_OPPONENT,FIND OPPONENT
ID_ARENA_POINTS_EARNED,BLITZ POINTS EARNED
ID_ARENA_POINTS_INCREASE,+{pts} PTS.
ID_ARENA_RANK_INFO,Rank: {rank}
ID_ARENA_REACH_MILESTONE,Reach Milestone {milestone} to earn:
ID_ARENA_REACH_RANK,Top the leaderboards to earn:
ID_ARENA_REVIEW,REVIEW
ID_ARENA_REWARD_TIER_MODIFIER,x{modifier} PTS. Modifier
ID_ARENA_REWARD_TIER_WINS,{wins} Wins
ID_ARENA_SEASON_ENDS_IN,SEASON ENDS IN
ID_ARENA_SELECTION_TEAM_SIZE,{num} vs {num}
ID_ARENA_SELECTION_VAULT,BLITZ STORE
ID_ARENA_UNRANKED,UNRANKED
ID_ARENA_UNRESTRICTED_ACCESS,Unrestricted Access
ID_ARENA_VIEW,VIEW
ID_BUY,BUY
ID_CAMPAIGN_CHAPTER_SELECTION,CHAPTERS
ID_CAMPAIGN_ENEMIES,ENEMIES
ID_CAMPAIGN_FIGHT,FIGHT
